Major Categories	2nd-tier	3rd-tier	Example
01 Personal Care	01 Sleeping	01 Sleeping	sleeping
01 Personal Care	01 Sleeping	01 Sleeping	waking up
01 Personal Care	01 Sleeping	01 Sleeping	falling asleep
01 Personal Care	01 Sleeping	01 Sleeping	dreaming
01 Personal Care	01 Sleeping	01 Sleeping	dozing off
01 Personal Care	01 Sleeping	01 Sleeping	cat napping
01 Personal Care	01 Sleeping	01 Sleeping	napping
01 Personal Care	01 Sleeping	01 Sleeping	getting some shut-eye
01 Personal Care	01 Sleeping	01 Sleeping	getting up
01 Personal Care	01 Sleeping	01 Sleeping	dozing
01 Personal Care	01 Sleeping	02 Sleeplessness	insomnia
01 Personal Care	01 Sleeping	02 Sleeplessness	lying awake
01 Personal Care	01 Sleeping	02 Sleeplessness	tossing and turning
01 Personal Care	01 Sleeping	02 Sleeplessness	counting sheep
01 Personal Care	01 Sleeping	99 Sleeping, n.e.c.*	#N/A
01 Personal Care	02 Grooming	01 Washing, dressing and grooming oneself	bathing/showering
01 Personal Care	02 Grooming	01 Washing, dressing and grooming oneself	washing face
01 Personal Care	02 Grooming	01 Washing, dressing and grooming oneself	brushing/flossing teeth
01 Personal Care	02 Grooming	01 Washing, dressing and grooming oneself	washing hands
01 Personal Care	02 Grooming	01 Washing, dressing and grooming oneself	grooming
01 Personal Care	02 Grooming	01 Washing, dressing and grooming oneself	putting in contact lenses
01 Personal Care	02 Grooming	01 Washing, dressing and grooming oneself	blow-drying hair
01 Personal Care	02 Grooming	01 Washing, dressing and grooming oneself	shaving legs
01 Personal Care	02 Grooming	01 Washing, dressing and grooming oneself	brushing hair
01 Personal Care	02 Grooming	01 Washing, dressing and grooming oneself	cleaning contact lenses
01 Personal Care	02 Grooming	01 Washing, dressing and grooming oneself	putting on makeup
01 Personal Care	02 Grooming	01 Washing, dressing and grooming oneself	washing hair
01 Personal Care	02 Grooming	01 Washing, dressing and grooming oneself	shaving
01 Personal Care	02 Grooming	01 Washing, dressing and grooming oneself	filing nails
01 Personal Care	02 Grooming	01 Washing, dressing and grooming oneself	getting dressed/undressed
01 Personal Care	02 Grooming	01 Washing, dressing and grooming oneself	combing hair
01 Personal Care	02 Grooming	01 Washing, dressing and grooming oneself	changing clothes
01 Personal Care	02 Grooming	01 Washing, dressing and grooming oneself	gargling mouthwash
01 Personal Care	02 Grooming	01 Washing, dressing and grooming oneself	laying clothes out
01 Personal Care	02 Grooming	01 Washing, dressing and grooming oneself	putting on shoes
01 Personal Care	02 Grooming	01 Washing, dressing and grooming oneself	putting on hand cream
01 Personal Care	02 Grooming	01 Washing, dressing and grooming oneself	removing curlers
01 Personal Care	02 Grooming	01 Washing, dressing and grooming oneself	perming own hair
01 Personal Care	02 Grooming	01 Washing, dressing and grooming oneself	putting on night cream
01 Personal Care	02 Grooming	01 Washing, dressing and grooming oneself	doing own hair
01 Personal Care	02 Grooming	01 Washing, dressing and grooming oneself	cutting own hair
01 Personal Care	02 Grooming	01 Washing, dressing and grooming oneself	running bath
01 Personal Care	02 Grooming	01 Washing, dressing and grooming oneself	washing feet
01 Personal Care	02 Grooming	01 Washing, dressing and grooming oneself	doing nails
01 Personal Care	02 Grooming	01 Washing, dressing and grooming oneself	cleaning ears
01 Personal Care	02 Grooming	01 Washing, dressing and grooming oneself	putting on nail polish
01 Personal Care	02 Grooming	01 Washing, dressing and grooming oneself	brushing lint off clothing
01 Personal Care	02 Grooming	01 Washing, dressing and grooming oneself	using the bathroom
01 Personal Care	02 Grooming	01 Washing, dressing and grooming oneself	putting on pajamas
01 Personal Care	02 Grooming	99 Grooming, n.e.c.*	mom braided my hair
01 Personal Care	02 Grooming	99 Grooming, n.e.c.*	friend rubbed suntan lotion on me
01 Personal Care	02 Grooming	99 Grooming, n.e.c.*	getting a haircut from spouse/friend (unpaid)
01 Personal Care	03 Health-related Self Care	01 Health-related self care	doing childbirth exercises
01 Personal Care	03 Health-related Self Care	01 Health-related self care	meditating (not religious)
01 Personal Care	03 Health-related Self Care	01 Health-related self care	dressing a wound
01 Personal Care	03 Health-related Self Care	01 Health-related self care	taking vitamins
01 Personal Care	03 Health-related Self Care	01 Health-related self care	giving oneself a shot
01 Personal Care	03 Health-related Self Care	01 Health-related self care	resting because of injury
01 Personal Care	03 Health-related Self Care	01 Health-related self care	taking insulin
01 Personal Care	03 Health-related Self Care	01 Health-related self care	taking cough drops
01 Personal Care	03 Health-related Self Care	01 Health-related self care	putting ice on injury
01 Personal Care	03 Health-related Self Care	01 Health-related self care	bandaging ankle
01 Personal Care	03 Health-related Self Care	01 Health-related self care	gargling for sore throat
01 Personal Care	03 Health-related Self Care	01 Health-related self care	giving oneself an injection
01 Personal Care	03 Health-related Self Care	01 Health-related self care	resting because of illness
01 Personal Care	03 Health-related Self Care	01 Health-related self care	testing blood sugar level
01 Personal Care	03 Health-related Self Care	01 Health-related self care	taking medicine
01 Personal Care	03 Health-related Self Care	01 Health-related self care	applying ointment
01 Personal Care	03 Health-related Self Care	01 Health-related self care	doing stress management exercises
01 Personal Care	03 Health-related Self Care	01 Health-related self care	changing oxygen
01 Personal Care	03 Health-related Self Care	01 Health-related self care	exercising or therapy for medical reasons
01 Personal Care	03 Health-related Self Care	99 Self care, n.e.c.*	feeling sick
01 Personal Care	04 Personal Activities	01 Personal/Private activities	having sex
01 Personal Care	04 Personal Activities	01 Personal/Private activities	private activity, unspecified
01 Personal Care	04 Personal Activities	01 Personal/Private activities	making out
01 Personal Care	04 Personal Activities	01 Personal/Private activities	personal activity, unspecified
